127.0.0.1 - - [10/Oct/2020:11:37:44 +0900] "GET / HTTP/1.1" 200 8797
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET / HTTP/1.1" 200 8797
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/css/jquery.timepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.stellar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/google-map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.timepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/js/scrollax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/images/bg_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /resources/fonts/flaticon/font/Flaticon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2020:11:37:46 +0900] "GET /favicon.ico HTTP/1.1" 404 721
